#bodies, #contacts, contact detection, warmstart, full LCP solve, single iteration PGS, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
242,3014,0.0013538,6.18E-04,0.0551596,0.0013629,8.06E-05,0.0011389,0.0029692,4.20E-06,1.15E-05,1.10E-06,4.00E-07,4.79E-04,7.89E-04,0,0,2.00E-07,7.56E-04,0.0662142
219,2812,0.0013116,6.93E-04,0.0548624,0.0015348,8.58E-05,0.0012953,0.0026623,7.80E-06,1.42E-05,2.00E-06,6.00E-07,3.26E-04,0.0012678,0,0,2.00E-07,0.0012232,0.0659423
183,2500,0.0015823,5.84E-04,0.0508897,0.0014551,9.05E-05,0.0011424,0.005002,4.43E-05,2.19E-05,2.30E-06,5.00E-07,6.50E-04,0.0010768,0,0,2.00E-07,0.0010162,0.0642035
159,2260,0.0013111,5.20E-04,0.0454403,0.0016799,9.29E-05,0.0012619,0.0037429,3.88E-05,1.69E-05,2.40E-06,1.00E-06,6.81E-04,0.0011707,0,0,6.00E-07,0.0011034,0.0567784
128,1870,0.001187,4.77E-04,0.0413221,0.0018688,8.23E-05,0.0014816,0.0050701,7.50E-06,1.87E-05,2.40E-06,7.00E-07,6.84E-04,0.0010702,0,0,2.00E-07,9.86E-04,0.0534166
115,1684,0.0011099,6.01E-04,0.0327766,0.0022771,9.25E-05,0.0017385,0.0022377,3.10E-06,1.01E-05,1.30E-06,5.00E-07,4.84E-04,0.0011157,0,0,3.00E-07,9.02E-04,0.0420855
100,1504,0.0028879,2.53E-04,0.0279343,0.0016536,6.99E-05,0.001137,0.0021506,7.50E-06,1.03E-05,1.60E-06,2.00E-07,6.48E-04,8.79E-04,0,0,3.00E-07,7.91E-04,0.0372499
85,1324,0.0011666,2.27E-04,0.0251859,0.0020717,7.08E-05,0.0015417,0.0019509,1.79E-05,1.08E-05,1.20E-06,3.00E-07,5.85E-04,9.57E-04,0,0,3.00E-07,8.20E-04,0.0329936
74,1192,9.36E-04,2.04E-04,0.0239162,0.0019976,6.99E-05,0.001442,0.001071,1.10E-06,9.20E-06,1.10E-06,3.00E-07,1.99E-04,8.28E-04,0,0,5.00E-07,6.56E-04,0.030129
74,1192,8.43E-04,1.93E-04,0.0240458,0.001931,6.75E-05,0.0014733,1.02E-05,0,0,0,0,0,7.29E-04,0,0,3.00E-07,5.79E-04,0.0287878
66,952,8.70E-04,1.79E-04,0.0200561,0.00193,6.14E-05,0.0014738,0.0018408,1.00E-06,7.90E-06,6.00E-07,2.00E-07,5.96E-04,7.81E-04,0,0,4.00E-07,6.29E-04,0.0267153
65,940,7.58E-04,1.35E-04,0.016907,0.0020859,6.94E-05,0.0015639,1.33E-04,4.00E-07,3.70E-06,2.00E-07,1.00E-07,6.31E-05,7.41E-04,0,0,3.00E-07,5.74E-04,0.0215165
65,940,6.69E-04,1.34E-04,0.0160082,0.0018555,6.38E-05,0.0014009,8.90E-06,0,0,0,0,0,7.17E-04,0,0,4.00E-07,5.48E-04,0.0202119
58,856,7.29E-04,1.34E-04,0.0158322,0.0019326,6.03E-05,0.0014102,6.86E-04,8.00E-07,1.72E-05,7.00E-07,1.00E-07,2.97E-04,9.59E-04,0,0,4.00E-07,7.85E-04,0.0210631
56,832,6.36E-04,1.16E-04,0.0143945,0.0018685,6.08E-05,0.001347,2.16E-04,7.00E-07,2.03E-05,3.00E-07,0,8.91E-05,9.91E-04,0,0,6.00E-07,7.92E-04,0.0189898
52,784,7.15E-04,1.20E-04,0.0140095,0.0019387,5.70E-05,0.0013961,3.44E-04,7.00E-07,1.10E-06,5.00E-07,1.00E-07,1.57E-04,9.98E-04,0,0,7.00E-07,7.90E-04,0.0187919
52,784,5.97E-04,1.10E-04,0.0132681,0.001888,5.95E-05,0.0013598,7.30E-06,0,0,0,0,0,9.51E-04,0,0,5.00E-07,7.33E-04,0.0175578
52,784,7.86E-04,1.14E-04,0.0131547,0.0017371,5.87E-05,0.001246,7.50E-06,0,0,0,0,0,0.0010411,0,0,4.00E-07,8.01E-04,0.0176098
46,712,6.66E-04,1.16E-04,0.0131461,0.0019492,6.40E-05,0.0013849,4.79E-04,1.30E-06,1.40E-06,4.00E-07,1.00E-07,2.28E-04,0.0011391,0,0,3.00E-07,9.61E-04,0.0181617
43,676,5.84E-04,9.43E-05,0.0121623,0.0019561,5.79E-05,0.0013561,2.50E-04,8.00E-07,1.30E-06,2.00E-07,0,1.29E-04,9.79E-04,0,0,3.00E-07,7.96E-04,0.016613
